project name,city,scale/scope,associated contractor(s),associated architect(s)/office,contact info,source URL,confidence,date found
مهستان نقش جهان,Isfahan,پروژه ساختمانی,,مرکز خرید مهستان ضمن انجام مطالعات گسترده بر روی میراث معماری ایران، بسیاری از مراکز خرید معروف دنیا نیز مورد بررسی قرار گرفت; ، اجرا,,https://mahestanaghsh.com/; https://mahestanaghsh.com/projects/,high,2026-09-22
اطلاعات ساختمان های در حال ساخت اصفهان,Isfahan,پروژه ساختمانی,صحت اطلاعات,,,https://artaparsian.com/product/اصلاعات-ساختمان-های-در-حال-ساخت-اصفهان/,medium,2026-09-22
